component,spcd,n,sigma,rmse,sd_pe_pct,fi
TT_DW_ADJ,800,2,4.46115081574302,18.6669835899303,5.15769570265079,0.967916050384675
TT_DW_ADJ,802,363,13.2514161038784,261.847841280225,16.9348523593062,0.982366456337378
TT_DW_ADJ,804,1,inf,43.2992849489402,,-inf
TT_DW_ADJ,806,81,12.8162902967509,199.512735984405,12.7561430852195,0.981665752053974
TT_DW_ADJ,812,53,11.2653648948857,166.613228364811,12.3197914540295,0.975846134255008
TT_DW_ADJ,813,17,3.74486981505324,29.6583135538533,9.19593989885085,0.973866125139182
TT_DW_ADJ,819,32,4.68585301770817,24.7927380767621,19.1369644375993,0.909083994898806
TT_DW_ADJ,820,47,9.63700104817126,132.097380860285,15.291175989675,0.963039215666654
TT_DW_ADJ,822,88,26.3549725557483,692.037089667046,18.218251487088,0.950829542975471
TT_DW_ADJ,823,9,4.51771558596465,31.3394470606191,20.4233175892744,0.967258170987693
TT_DW_ADJ,824,25,2.81381183990367,13.5136567013016,13.6567248448547,0.962183701536005
TT_DW_ADJ,825,1,inf,0.136652140579599,,-inf
TT_DW_ADJ,827,206,11.2793284299894,157.104379164768,18.0565433007685,0.973777483866992
TT_DW_ADJ,828,57,26.4781011567646,670.712104373118,12.8014972581044,0.980029313199314
TT_DW_ADJ,830,4,7.9529868069974,38.516006495936,10.3213488158097,0.440558696447397
TT_DW_ADJ,831,91,21.7397693339112,580.624971875774,19.6072791054108,0.973504791779401
TT_DW_ADJ,832,90,13.1373274235641,238.628751743004,14.2630509327372,0.985284562969942
TT_DW_ADJ,833,198,14.4783699398813,260.690894181987,17.8881299642815,0.976154765953765
TT_DW_ADJ,835,28,12.9085616660294,220.914067568611,15.7144879907675,0.923609453206395
TT_DW_ADJ,837,48,7.91450929065984,117.596911801525,14.8061785523486,0.992781979183121
TT_DW_ADJ,840,31,2.40249324952788,12.1890815755576,15.3085636354564,0.97532533642503
TT_DW_ADJ,842,32,3.56907184981276,18.4245666012415,16.7236294502446,0.955550175687043
TT_DW_ADJ,901,19,15.2768634155139,211.484365619294,16.242548824378,0.91682936037838
TT_DW_ADJ,920,7,1.38637580888521,11.7523642641452,9.17120981723809,0.993418398843845
TT_DW_ADJ,922,6,10.0981279004451,175.57835895149,10.8380458291398,0.960932653227973
TT_DW_ADJ,931,4,5.17825142032168,11.0128114715632,29.5228963042349,0.99535878758802
TT_DW_ADJ,935,2,13.5114563215737,78.0573076219106,24.088744153551,0.772645661307177
TT_DW_ADJ,950,98,7.97296232676505,113.726396129828,23.0488340346134,0.974034415793131
TT_DW_ADJ,951,43,18.1041898115606,456.262539107593,27.2067730513035,0.906491937310132
TT_DW_ADJ,970,55,7.95662237648176,82.4282424520639,24.6588130844319,0.850644233102687
TT_DW_ADJ,972,104,7.34389011346421,86.1844348924151,19.8689542177477,0.976255753132788
TT_DW_ADJ,999,49,2.18528253073566,11.9866231828582,26.9476820111712,0.990659719510952
TT_WDBK_DW_ADJ,,12655,10.3845477850393,202.363666486201,19.6688301591692,0.979746728676208
TT_WDBK_DW_ADJ,11,8,10.5081348517294,220.028208768306,8.58644663564925,0.995189493976039
TT_WDBK_DW_ADJ,12,117,2.85868296839161,24.6721407759387,18.779109009924,0.99072930275399
TT_WDBK_DW_ADJ,15,90,20.5763862137782,534.349708524908,29.1800099488603,0.989815502305458
TT_WDBK_DW_ADJ,16,11,5.5256248432544,34.424520578028,28.7884244100178,0.904200367858588
TT_WDBK_DW_ADJ,17,45,11.7404271129228,201.470253295032,16.062418337156,0.993106935986495
TT_WDBK_DW_ADJ,19,96,5.28732799048152,70.9349034438085,20.4717539141437,0.980270470232957
TT_WDBK_DW_ADJ,20,14,39.2824276689161,813.903912865884,29.5731668418154,0.767999796027279
TT_WDBK_DW_ADJ,42,4,7.07777612185612,141.60668224036,6.94176046905317,0.98060506092575
TT_WDBK_DW_ADJ,68,34,5.00749398919373,46.7097906533458,20.460592488157,0.905673336030907
TT_WDBK_DW_ADJ,71,90,5.34542757155263,44.5465913629437,28.3747087383524,0.975351284362653
TT_WDBK_DW_ADJ,73,40,10.1985683949844,214.925367079635,13.2944432929095,0.959522403016769
TT_WDBK_DW_ADJ,93,98,7.63921138156497,105.329890624228,20.8419187297577,0.967590292301848
TT_WDBK_DW_ADJ,94,77,4.8929790706941,44.8610871378901,26.6305916138083,0.96957947098009
TT_WDBK_DW_ADJ,95,77,2.50755102897976,18.0749609218904,14.7773236300198,0.969653210398133
TT_WDBK_DW_ADJ,96,1,inf,6.15590685882991,,-inf
TT_WDBK_DW_ADJ,97,48,8.49983838210775,98.1638035207168,16.9059003010898,0.971071667576474
TT_WDBK_DW_ADJ,98,31,19.426162769474,335.222360255857,29.0827771879616,0.924248378878511
TT_WDBK_DW_ADJ,105,53,3.66968475903888,44.9839207076257,10.5557219542773,0.984844415968428
TT_WDBK_DW_ADJ,108,178,8.04652831526507,112.403690420475,17.9025729017093,0.971753155986912
TT_WDBK_DW_ADJ,110,232,4.72875437206644,55.7895010856321,19.5713162368478,0.99062142431736
TT_WDBK_DW_ADJ,111,173,7.31371057631518,101.968499586847,21.2616135825754,0.983611536812565
TT_WDBK_DW_ADJ,115,1,inf,18.2858310124277,,-inf
TT_WDBK_DW_ADJ,116,9,7.60903754244583,104.848658490129,12.3406150283372,0.9453116302691
TT_WDBK_DW_ADJ,121,313,9.30408460876128,133.412206461916,16.1884466592984,0.975948605781733
TT_WDBK_DW_ADJ,122,364,12.4388821872991,220.444352881445,20.795230454921,0.959633504356529
TT_WDBK_DW_ADJ,123,6,5.94676372209954,32.7961692170055,23.3496973341211,0.999387197617154
TT_WDBK_DW_ADJ,125,221,5.7580874137629,101.337590689849,14.1862910170843,0.982140108029443
TT_WDBK_DW_ADJ,126,35,3.59852716682597,47.7590330825404,15.0421051545477,0.996083340995245
TT_WDBK_DW_ADJ,129,337,8.41342375353333,172.577528185146,14.8083929123681,0.983348386547387
TT_WDBK_DW_ADJ,131,623,5.2610032298864,82.5375336270711,18.268675984103,0.986428616266334
TT_WDBK_DW_ADJ,132,110,5.33698892268808,72.769805952029,20.5262134016824,0.964151248130822
TT_WDBK_DW_ADJ,202,363,18.2992303554446,447.439900810943,19.4529813909031,0.975730710956337
TT_WDBK_DW_ADJ,211,25,20.8216326063061,565.08574089473,19.4929595010636,0.92927570611484
TT_WDBK_DW_ADJ,221,13,2.90819866078285,22.9920045330339,12.329835128104,0.987448070347494
TT_WDBK_DW_ADJ,222,77,7.79094084495235,89.6463108868833,17.5702474084744,0.954799429174261
