spcd,common_name,genus,species,jenkins_spgrpcd,wdsg
72,subalpine larch,Larix,lyallii,1.0,0.49
73,western larch,Larix,occidentalis,1.0,0.48
74,Japanese larch,Larix,kaempferi,1.0,0.49
75,Siberian larch,Larix,sibirica,1.0,0.49
81,incense-cedar,Calocedrus,decurrens,1.0,0.35
90,spruce spp.,Picea,spp.,5.0,0.36
91,Norway spruce,Picea,abies,5.0,0.36
92,Brewer spruce,Picea,breweriana,5.0,0.36
93,Engelmann spruce,Picea,engelmannii,5.0,0.33
94,white spruce,Picea,glauca,5.0,0.37
95,black spruce,Picea,mariana,5.0,0.38
96,blue spruce,Picea,pungens,5.0,0.36
97,red spruce,Picea,rubens,5.0,0.37
98,Sitka spruce,Picea,sitchensis,5.0,0.33
100,pine spp.,Pinus,spp.,4.0,0.43
101,whitebark pine,Pinus,albicaulis,4.0,0.43
102,Rocky Mountain bristlecone pine,Pinus,aristata,4.0,0.43
103,knobcone pine,Pinus,attenuata,4.0,0.39
104,foxtail pine,Pinus,balfouriana,4.0,0.43
105,jack pine,Pinus,banksiana,4.0,0.4
106,common or two-needle pinyon,Pinus,edulis,10.0,0.5
107,sand pine,Pinus,clausa,4.0,0.46
108,lodgepole pine,Pinus,contorta,4.0,0.38
109,Coulter pine,Pinus,coulteri,4.0,0.43
110,shortleaf pine,Pinus,echinata,4.0,0.47
111,slash pine,Pinus,elliottii,4.0,0.54
112,Apache pine,Pinus,engelmannii,4.0,0.43
113,limber pine,Pinus,flexilis,4.0,0.37
114,southwestern white pine ,Pinus,strobiformis,4.0,0.43
115,spruce pine,Pinus,glabra,4.0,0.41
116,Jeffrey pine,Pinus,jeffreyi,4.0,0.37
117,sugar pine,Pinus,lambertiana,4.0,0.34
118,Chihuahuan pine,Pinus,leiophylla,4.0,0.43
119,western white pine,Pinus,monticola,4.0,0.36
120,bishop pine,Pinus,muricata,4.0,0.45
121,longleaf pine,Pinus,palustris,4.0,0.54
122,ponderosa pine,Pinus,ponderosa,4.0,0.38
123,Table Mountain pine,Pinus,pungens,4.0,0.49
124,Monterey pine,Pinus,radiata,4.0,0.4
125,red pine,Pinus,resinosa,4.0,0.41
126,pitch pine,Pinus,rigida,4.0,0.47
127,gray or California foothill pine,Pinus,sabiniana,4.0,0.4
128,pond pine,Pinus,serotina,4.0,0.51
129,eastern white pine,Pinus,strobus,4.0,0.34
130,Scotch pine,Pinus,sylvestris,4.0,0.43
131,loblolly pine,Pinus,taeda,4.0,0.47
132,Virginia pine,Pinus,virginiana,4.0,0.45
133,singleleaf pinyon,Pinus,monophylla,10.0,0.43
134,border pinyon,Pinus,discolor,10.0,0.43
135,Arizona pine,Pinus,arizonica,4.0,0.43
136,Austrian pine,Pinus,nigra,4.0,0.43
137,Washoe pine,Pinus,washoensis,4.0,0.43
138,four-leaf or Parry pinyon pine,Pinus,quadrifolia,10.0,0.43
139,Torrey pine,Pinus,torreyana,4.0,0.43
140,Mexican pinyon pine,Pinus,cembroides,10.0,0.43
141,papershell pinyon pine,Pinus,remota,10.0,0.43
142,Great Basin bristlecone pine,Pinus,longaeva,4.0,0.43
143,Arizona pinyon pine,Pinus,monophylla,10.0,0.43
144,Honduras pine,Pinus,elliottii,4.0,0.43
200,Douglas-fir spp.,Pseudotsuga,spp.,2.0,0.45
201,bigcone Douglas-fir,Pseudotsuga,macrocarpa,2.0,0.45
